iter	Passed	Remaining
0	113	113702
1	115	57546
2	116	38771
3	117	29341
4	119	23690
5	120	19890
6	121	17198
7	122	15140
8	122	13543
9	123	12247
10	124	11197
11	125	10311
12	125	9552
13	126	8899
14	127	8342
15	127	7852
16	128	7436
17	129	7052
18	129	6710
19	130	6410
20	131	6130
21	132	5872
22	132	5636
23	133	5424
24	134	5228
25	134	5049
26	135	4881
27	136	4724
28	136	4581
29	137	4445
30	138	4321
31	138	4202
32	139	4093
33	140	3987
34	141	3888
35	141	3792
36	142	3704
37	142	3618
38	143	3541
39	144	3468
40	145	3396
41	145	3326
42	146	3267
43	147	3208
44	148	3152
45	149	3093
46	149	3036
47	150	2984
48	151	2932
49	151	2885
50	152	2839
51	153	2794
52	153	2749
53	154	2708
54	155	2668
55	155	2629
56	156	2590
57	157	2553
58	157	2517
59	158	2483
60	159	2450
61	159	2418
62	160	2387
63	161	2357
64	161	2328
65	162	2300
66	163	2273
67	163	2241
68	164	2215
69	164	2191
70	165	2168
71	166	2144
72	167	2120
73	167	2097
74	168	2075
75	168	2054
76	169	2032
77	170	2011
78	170	1990
79	171	1971
80	171	1951
81	172	1931
82	173	1914
83	173	1896
84	174	1877
85	175	1862
86	175	1843
87	176	1828
88	177	1814
89	177	1798
90	178	1782
91	179	1768
92	179	1753
93	180	1739
94	181	1726
95	181	1712
96	182	1699
97	183	1685
98	183	1673
99	184	1660
100	185	1648
101	185	1633
102	186	1621
103	186	1609
104	187	1598
105	188	1587
106	189	1577
107	189	1566
108	190	1555
109	190	1545
110	191	1534
111	192	1523
112	192	1512
113	193	1502
114	193	1492
115	194	1482
116	195	1473
117	195	1464
118	196	1454
119	197	1444
120	197	1435
121	198	1427
122	198	1416
123	199	1408
124	200	1400
125	200	1392
126	201	1384
127	201	1376
128	202	1368
129	203	1361
130	204	1353
131	204	1346
132	205	1339
133	206	1332
134	206	1325
135	207	1318
136	208	1311
137	208	1303
138	209	1296
139	210	1290
140	210	1284
141	211	1278
142	212	1272
143	212	1265
144	213	1259
145	214	1254
146	215	1248
147	215	1242
148	216	1238
149	217	1233
150	218	1227
151	218	1221
152	219	1216
153	220	1210
154	220	1204
155	221	1199
156	222	1193
157	223	1188
158	223	1182
159	224	1177
160	225	1172
161	225	1167
162	226	1162
163	226	1157
164	227	1151
165	228	1146
166	228	1141
167	229	1136
168	230	1131
169	230	1126
170	231	1122
171	232	1117
172	232	1112
173	233	1108
174	234	1103
175	234	1099
176	235	1094
177	236	1090
178	236	1085
179	237	1081
180	237	1075
181	238	1071
182	238	1066
183	239	1062
184	240	1058
185	241	1054
186	241	1050
187	242	1046
188	243	1042
189	243	1039
190	244	1035
191	245	1031
192	245	1027
193	246	1024
194	247	1020
195	247	1016
196	248	1013
197	249	1009
198	249	1005
199	250	1001
200	251	998
201	251	995
202	252	991
203	253	988
204	253	984
205	254	981
206	255	978
207	255	974
208	256	971
209	257	968
210	258	964
211	258	961
212	259	958
213	260	955
214	260	951
215	261	948
216	262	945
217	262	942
218	263	939
219	264	937
220	265	934
221	265	931
222	266	928
223	267	925
224	267	922
225	268	919
226	269	916
227	269	913
228	270	910
229	271	908
230	271	905
231	272	902
232	273	899
233	274	897
234	274	894
235	275	891
236	276	888
237	276	886
238	277	883
239	278	880
240	278	878
241	279	875
242	280	872
243	280	869
244	281	867
245	282	864
246	282	862
247	283	859
248	284	857
249	284	854
250	285	852
251	286	849
252	286	846
253	287	844
254	288	841
255	288	839
256	289	837
257	290	834
258	291	832
259	291	830
260	292	828
261	293	825
262	293	823
263	294	820
264	295	818
265	295	816
266	296	814
267	297	812
268	298	810
269	298	807
270	299	805
271	300	803
272	301	801
273	301	799
274	302	797
275	303	795
276	303	793
277	304	791
278	305	789
279	305	786
280	306	784
281	307	782
282	308	780
283	308	778
284	309	776
285	310	774
286	310	772
287	311	770
288	312	767
289	312	765
290	313	763
291	314	761
292	314	759
293	315	758
294	316	755
295	316	753
296	317	751
297	318	750
298	319	748
299	319	746
300	320	744
301	321	742
302	321	740
303	322	738
304	323	736
305	323	734
306	324	732
307	325	730
308	325	728
309	326	726
310	327	724
311	327	723
312	328	721
313	329	719
314	330	717
315	330	716
316	331	714
317	332	712
318	333	711
319	333	709
320	334	707
321	335	705
322	335	703
323	336	702
324	337	700
325	338	699
326	338	697
327	339	695
328	340	694
329	340	692
330	341	690
331	342	688
332	343	687
333	343	685
334	344	684
335	345	682
336	346	680
337	346	679
338	347	677
339	348	676
340	348	674
341	349	672
342	350	671
343	351	669
344	351	668
345	352	666
346	353	664
347	353	663
348	354	661
349	355	659
350	355	658
351	356	656
352	357	655
353	358	653
354	358	651
355	359	650
356	360	648
357	360	647
358	361	645
359	362	644
360	363	642
361	363	640
362	364	639
363	365	637
364	365	636
365	366	634
366	367	633
367	367	631
368	368	630
369	369	628
370	370	627
371	370	625
372	371	624
373	372	622
374	372	621
375	373	620
376	374	618
377	375	617
378	375	615
379	376	614
380	377	612
381	377	611
382	378	609
383	379	608
384	379	606
385	380	605
386	381	604
387	382	602
388	382	601
389	383	599
390	384	598
391	384	596
392	385	595
393	386	594
394	386	592
395	387	591
396	388	589
397	389	588
398	389	587
399	390	585
400	391	584
401	392	583
402	392	581
403	393	580
404	394	579
405	394	577
406	395	576
407	396	575
408	396	573
409	397	572
410	398	570
411	398	569
412	399	568
413	400	566
414	401	565
415	401	564
416	402	562
417	403	561
418	403	560
419	404	558
420	405	557
421	406	556
422	406	554
423	407	553
424	408	552
425	408	550
426	409	549
427	410	548
428	411	547
429	411	545
430	412	544
431	413	543
432	413	541
433	414	540
434	415	539
435	416	538
436	416	536
437	417	535
438	418	534
439	419	533
440	419	532
441	420	530
442	421	529
443	422	528
444	422	527
445	423	525
446	424	524
447	424	523
448	425	522
449	426	521
450	427	519
451	427	518
452	428	517
453	429	516
454	429	514
455	430	513
456	431	512
457	431	511
458	432	509
459	433	508
460	434	507
461	434	506
462	435	505
463	436	503
464	436	502
465	437	501
466	438	500
467	439	499
468	439	497
469	440	496
470	441	495
471	441	494
472	442	493
473	443	491
474	444	490
475	444	489
476	445	488
477	446	487
478	447	486
479	447	485
480	448	484
481	449	483
482	450	481
483	450	480
484	451	479
485	452	478
486	453	477
487	453	475
488	454	474
489	455	473
490	455	472
491	456	471
492	457	470
493	457	468
494	458	467
495	459	466
496	460	465
497	460	464
498	461	463
499	462	462
500	462	461
501	463	459
502	464	458
503	465	457
504	465	456
505	466	455
506	467	454
507	468	453
508	468	452
509	469	451
510	470	449
511	470	448
512	471	447
513	472	446
514	473	445
515	473	444
516	474	443
517	475	442
518	476	441
519	476	440
520	477	438
521	478	437
522	478	436
523	479	435
524	480	434
525	480	433
526	481	432
527	482	431
528	482	430
529	483	428
530	484	427
531	484	426
532	485	425
533	486	424
534	486	423
535	487	422
536	488	421
537	489	419
538	489	418
539	490	417
540	490	416
541	491	415
542	492	414
543	492	413
544	493	412
545	494	410
546	494	409
547	495	408
548	496	407
549	497	406
550	497	405
551	498	404
552	499	403
553	499	402
554	500	401
555	500	400
556	501	398
557	502	397
558	503	396
559	503	395
560	504	394
561	505	393
562	505	392
563	506	391
564	507	390
565	507	389
566	508	388
567	509	387
568	510	386
569	510	385
570	511	384
571	512	383
572	513	382
573	514	381
574	514	380
575	515	379
576	516	378
577	516	377
578	517	376
579	518	375
580	519	374
581	519	373
582	520	372
583	521	371
584	521	370
585	522	369
586	523	368
587	523	367
588	524	366
589	525	365
590	525	363
591	526	362
592	527	361
593	528	360
594	528	359
595	529	358
596	529	357
597	530	356
598	531	355
599	531	354
600	532	353
601	533	352
602	534	351
603	534	350
604	535	349
605	536	348
606	536	347
607	537	346
608	538	345
609	538	344
610	539	343
611	540	342
612	541	341
613	541	340
614	542	339
615	543	338
616	543	337
617	544	336
618	545	335
619	546	334
620	546	333
621	547	332
622	548	331
623	549	330
624	549	329
625	550	328
626	550	327
627	551	326
628	552	325
629	553	324
630	553	323
631	554	322
632	555	321
633	556	320
634	556	320
635	557	319
636	558	318
637	558	317
638	559	316
639	560	315
640	560	314
641	561	313
642	562	312
643	563	311
644	563	310
645	564	309
646	565	308
647	565	307
648	566	306
649	567	305
650	567	304
651	568	303
652	569	302
653	569	301
654	570	300
655	571	299
656	572	298
657	572	297
658	573	296
659	574	295
660	575	294
661	575	293
662	576	292
663	577	292
664	577	291
665	578	290
666	579	289
667	579	288
668	580	287
669	581	286
670	582	285
671	582	284
672	583	283
673	584	282
674	585	281
675	585	280
676	586	279
677	587	278
678	587	277
679	588	277
680	589	276
681	590	275
682	590	274
683	591	273
684	592	272
685	592	271
686	593	270
687	594	269
688	594	268
689	595	267
690	596	266
691	597	265
692	597	264
693	598	264
694	599	263
695	600	262
696	600	261
697	601	260
698	602	259
699	602	258
700	603	257
701	604	256
702	605	255
703	605	254
704	606	253
705	607	252
706	607	251
707	608	250
708	609	250
709	610	249
710	610	248
711	611	247
712	612	246
713	612	245
714	613	244
715	614	243
716	614	242
717	615	241
718	616	240
719	617	240
720	617	239
721	618	238
722	619	237
723	620	236
724	620	235
725	621	234
726	622	233
727	622	232
728	623	231
729	624	230
730	624	229
731	625	229
732	626	228
733	627	227
734	627	226
735	628	225
736	629	224
737	629	223
738	630	222
739	631	221
740	631	220
741	632	219
742	633	219
743	634	218
744	634	217
745	635	216
746	636	215
747	636	214
748	637	213
749	638	212
750	639	211
751	639	210
752	640	210
753	641	209
754	641	208
755	642	207
756	643	206
757	643	205
758	644	204
759	645	203
760	646	202
761	646	202
762	647	201
763	648	200
764	648	199
765	649	198
766	650	197
767	651	196
768	651	195
769	652	194
770	653	194
771	653	193
772	654	192
773	655	191
774	656	190
775	656	189
776	657	188
777	658	187
778	659	186
779	659	186
780	660	185
781	661	184
782	662	183
783	662	182
784	663	181
785	664	180
786	664	179
787	665	179
788	666	178
789	667	177
790	667	176
791	668	175
792	669	174
793	669	173
794	670	172
795	671	172
796	672	171
797	672	170
798	673	169
799	674	168
800	674	167
801	675	166
802	676	165
803	676	165
804	677	164
805	678	163
806	678	162
807	679	161
808	680	160
809	681	159
810	681	158
811	682	158
812	683	157
813	683	156
814	684	155
815	685	154
816	686	153
817	686	152
818	687	151
819	687	151
820	688	150
821	689	149
822	690	148
823	690	147
824	691	146
825	692	145
826	692	144
827	693	144
828	694	143
829	694	142
830	695	141
831	696	140
832	697	139
833	697	138
834	698	138
835	699	137
836	700	136
837	700	135
838	701	134
839	702	133
840	702	132
841	703	132
842	704	131
843	705	130
844	705	129
845	706	128
846	707	127
847	707	126
848	708	126
849	709	125
850	710	124
851	710	123
852	711	122
853	712	121
854	713	120
855	713	120
856	714	119
857	715	118
858	716	117
859	716	116
860	717	115
861	718	114
862	718	114
863	719	113
864	720	112
865	721	111
866	721	110
867	722	109
868	723	109
869	724	108
870	724	107
871	725	106
872	726	105
873	726	104
874	727	103
875	728	103
876	729	102
877	730	101
878	730	100
879	731	99
880	732	98
881	732	98
882	733	97
883	734	96
884	734	95
885	735	94
886	736	93
887	737	92
888	737	92
889	738	91
890	739	90
891	739	89
892	740	88
893	741	87
894	742	87
895	742	86
896	743	85
897	744	84
898	745	83
899	745	82
900	746	82
901	747	81
902	747	80
903	748	79
904	749	78
905	750	77
906	750	76
907	751	76
908	752	75
909	752	74
910	753	73
911	754	72
912	755	71
913	755	71
914	756	70
915	757	69
916	758	68
917	758	67
918	759	66
919	760	66
920	761	65
921	761	64
922	762	63
923	763	62
924	764	61
925	765	61
926	766	60
927	766	59
928	767	58
929	768	57
930	769	57
931	770	56
932	771	55
933	772	54
934	772	53
935	773	52
936	774	52
937	775	51
938	776	50
939	776	49
940	777	48
941	778	47
942	779	47
943	780	46
944	781	45
945	782	44
946	783	43
947	785	43
948	785	42
949	786	41
950	787	40
951	787	39
952	788	38
953	789	38
954	790	37
955	790	36
956	791	35
957	792	34
958	793	33
959	793	33
960	794	32
961	795	31
962	795	30
963	796	29
964	797	28
965	798	28
966	798	27
967	799	26
968	800	25
969	800	24
970	801	23
971	802	23
972	803	22
973	803	21
974	804	20
975	805	19
976	805	18
977	806	18
978	807	17
979	808	16
980	808	15
981	809	14
982	810	14
983	811	13
984	811	12
985	812	11
986	813	10
987	813	9
988	814	9
989	815	8
990	816	7
991	817	6
992	817	5
993	818	4
994	819	4
995	820	3
996	820	2
997	821	1
998	822	0
999	822	0
